id,topic_id,title,score,publisher_id
"3023279","8","Oracle is latest tech giant to leave Silicon Valley for Texas","33","4"
"3023150","34","Hong Kong fourth wave: first Covid-19 vaccines may not prevent infection but can halt complications, health chief says, as city logs 69 new cases","43","4"
"3023074","34","US FDA authorizes Pfizer Covid-19 vaccine for emergency use","30","4"
"3023034","20","A Florida Man’s Act of Kindness Just Went Viral. (His Business Had a Really Great Year)","7","4"
"3023016","35","Gifting Malaysians the delightful taste of a Swedish Christmas","381","4"
"3022919","8","EU flexes muscle against big tech ‘gatekeepers’","13","4"
"3022916","35","Taco Bell Unwraps First Malaysian Outlet In Cyberjaya","27","4"
"3022906","8","Five things to know about the EU tech rule revolution","9","4"
"3022866","34","Pfizer Covid Vaccine Approved For Emergency Use By US FDA","27","4"
"3022860","34","Genetic Variants Linked To Severe COVID-19","1","4"
"3022846","34","With U.S. now in hand, BioNTech CEO looks for more vaccine production","35","4"
"3022815","34","US FDA authorizes Pfizer COVID-19 vaccine for emergency use","1","4"
"3022775","34","Explainer: Where are we in the COVID-19 vaccine race?","1","4"
"3022718","8","California files to join US antitrust lawsuit against Google","15","4"
"3022716","34","US approves its first COVID-19 vaccine in bid to end pandemic","63","5"
"3022707","34","US FDA authorises Pfizer Covid-19 vaccine for emergency use","24","5"
"3022684","29","Iconic Brazil bossa nova bar in Rio is latest victim of virus","14","5"
"3022679","34","US FDA authorizes Pfizer COVID vaccine for emergency use","72","5"
"3022648","8","Another global giant moves to Texas as Oracle leaves Silicon Valley","53","5"
"3022627","34","FDA grants emergency use authorization for Pfizer’s COVID-19 vaccine, distribution to begin within days","7","5"
"3022607","34","Pfizer’s COVID-19 vaccine is first to win U.S. approval","58","5"
"3022572","34","US FDA authorizes Pfizer COVID-19 vaccine for emergency use","63","5"
"3022552","29","Singapore to tighten border controls given ‘deteriorating’ Covid-19 outbreak in Hong Kong","53","5"
"3022541","34","FDA Approves Pfizer's COVID-19 Vaccine for Emergency Use","1423","5"
"3022514","34","Cheese and red wine could help fight cognitive decline","93","5"
"3022481","8","U.S. court dismisses lawsuit that had challenged social media executive order","19","5"
"3022479","34","US buys additional 100 mil doses of Moderna vaccine","27","5"
"3022431","20","Breaking: Mexico approves Pfizer&#39;s vaccine against COVID-19","20","5"
"3022428","20","How This Founder Turned a Simple Idea Into a Multimillion-Dollar Food Business","3","5"
"3022265","34","Study: Good news for fans of cheese and red wine, both could help stave off cognitive decline","36","5"
